CreditRisk,ID,CreditScore,PaymentDelays,EmployedMonths,DebtRatio,CreditAmount,Liquidity,CreditLines
nein,744488,607,5,29,3.414,103519,2696,6
nein,350833,533,8,21,3.737,74868,5336,8
ja,466037,474,12,25,5.061,93468,1785,4
ja,721737,551,13,3,5.926,41708,2104,10
nein,455703,768,0,13,1.91,318995,11523,3
ja,347843,426,8,13,4.727,58569,3255,6
nein,868476,723,1,33,1.6,192875,14488,3
nein,744628,593,5,22,4.15,154386,4586,4
ja,813097,444,12,4,11.475,208354,2946,9
ja,792339,489,9,9,5.3,125987,3911,4
nein,915754,768,2,58,1.9,221217,11357,5
ja,772785,503,10,17,7.618,141109,2126,8
nein,333329,590,5,8,4.235,225042,2651,5
ja,915412,439,4,19,5.275,158681,2409,9
nein,865393,767,0,40,2.7,271763,18820,3
nein,359274,766,1,34,1.01,341173,15356,4
nein,404305,539,2,18,3.01,307594,6203,9
nein,534724,767,0,84,1.09,376542,9357,3
nein,263971,527,8,6,2.197,296817,2544,4
nein,771868,824,1,55,0.47,92810,19640,4
ja,761174,537,5,25,4.005,175091,1363,7
nein,232562,581,4,5,3.471,283847,6389,6
nein,979918,535,2,21,3.047,96714,8025,7
nein,571918,686,2,31,2.21,162433,4890,1
nein,198229,544,8,35,2.186,264994,5656,3
nein,333172,783,1,60,0.09,276408,9044,3
nein,210067,668,1,57,2.79,147830,6384,3
nein,518931,792,1,93,0.22,442414,23353,1
nein,402679,623,7,10,3.064,185903,7248,6
nein,174596,563,2,14,2.219,267418,5922,4
nein,309823,589,2,34,2.885,262015,7288,4
nein,449749,750,1,14,1.82,161253,19864,3
ja,891398,523,9,18,9.07,146277,4812,5
ja,952463,397,17,6,12.058,220163,2840,12
nein,383592,788,0,82,0.54,345766,12975,4
ja,436385,453,10,18,4.983,106071,1252,4
nein,756563,689,2,41,2.9,252133,10883,3
nein,639367,671,1,11,1.82,85631,4598,5
nein,155583,669,1,27,1.01,225889,18787,4
nein,700406,670,2,54,1.97,323732,9578,2
nein,433831,631,8,8,3.316,175507,1960,3
nein,942669,624,5,37,4.825,228248,4704,7
ja,216780,450,12,19,3.243,272921,3885,4
ja,709151,469,15,15,9.147,151388,2675,8
ja,409928,536,15,5,5.927,122848,2717,6
nein,214609,591,5,5,2.502,143333,4691,6
ja,572219,467,8,13,6.301,92581,1814,5
nein,777216,607,6,12,3.026,217163,1009,6
nein,954735,667,1,9,1.2,58941,13565,5
nein,874132,670,2,52,1.95,147053,16135,3
nein,712671,759,0,44,1.41,300776,15120,5
nein,350554,680,1,16,2.58,107225,5328,5
nein,539166,772,0,45,1.18,206710,11213,3
nein,628458,747,2,51,2.67,276312,13383,6
ja,487871,478,4,13,7.211,115472,1283,7
nein,347491,552,8,20,2.378,309384,1962,4
ja,917978,453,11,9,9.049,149883,4190,10
nein,709893,586,3,19,4.956,176578,2195,3
nein,324300,734,0,57,2.68,254707,19896,3
ja,303684,509,9,3,7.366,113512,1025,6
ja,501733,447,5,5,9.571,66338,2678,6
ja,957977,467,9,2,5.611,178023,1342,4
nein,861289,676,1,48,1.51,61636,10148,4
ja,321526,451,11,13,6.173,257429,4490,4
nein,296022,672,3,40,1.7,353588,5050,2
nein,800522,540,8,19,4.264,294977,6903,5
nein,790158,681,0,59,1.28,221765,9150,1
nein,889676,811,1,67,0.8,415960,8826,4
ja,955934,489,5,4,4.841,57475,3386,4
nein,440970,575,5,16,4.725,90153,2852,7
nein,480336,732,1,5,1.65,321870,6322,4
nein,289733,570,2,5,2.661,303423,7512,5
nein,679145,634,3,15,3.883,197012,5102,9
ja,561040,432,13,26,4.769,61390,3270,5
nein,865956,590,6,33,3.415,98449,8044,7
ja,938638,520,14,26,8.771,201892,4271,9
nein,268465,775,1,13,1.9,135732,13112,3
nein,419379,687,1,29,2.7,111439,10867,5
ja,752417,508,15,29,6.086,234693,2509,9
ja,745712,488,5,7,6.601,209112,4149,8
nein,178943,536,7,33,4.71,186131,6852,8
